original_sponsor,clustered_sponsor
The Red Barn Restaurant And Lounge,The Red Barn Restaurant And Lounge
Miller Bros.,Miller Bros.
Tsuruya,Tsuruya
Terrace Room,Terrace Room
Flying Clipper Restaurant,Flying Clipper Restaurant
Mammoth Cave Hotel,Mammoth Cave Hotel
Grand Ballroom Of The Hotel Plaza,Grand Ballroom Of The Hotel Plaza
Caughey's Pine Room,Caugheys Pine Room
Skyline Drive,Skyline Drive
Solowey's,Soloweys
The Chief,The Chief
Santa Fe Dining Car Service,Santa Fe Dining Car Service
Union Pacific Railroad Company,Union Pacific Railroad Company
Old Prague Restaurant,Old Prague Restaurant
The Engineer's Club,The Engineers Club
The Monico,The Monico
'''Hamburg''''''',Hamburg
Pfeiffer's,Pfeiffers
Pennsylvania Hotel,Hotel Pennsylvania
'Joseph Schmidt,Joseph Schmidt
The Chateau   Lake Louise,The Chateau Lake Louise
Hotel Severin/Hotel Miami,Hotel Severinhotel Miami
St. Charles Hotel,St. Charles Hotel
U.S.S. Oklahoma,U.S.S. Oklahoma
Elks' Home,Elks Home
Copley-Plaza,Copley-plaza
Friars' Club House,Friars Club House
Madison Square Garden,Madison Square Garden
Bellevue Hotel,Bellevue Hotel
Blackstone Hotel,Blackstone Hotel
Gardner & Smith,Gardner & Smith
Lorber's,Lorbers
CENTRAL RESTAURANT CO.,Central Restaurant Co.
HOTEL ORMOND,Hotel Ormond
NIPPON YUSEN KAISHA - S.S.KOBE LIARU,Nippon Yusen Kaisha - S.S.Kobe Liaru
WISCONSIN CENTRAL RAILWAY CO.,Wisconsin Central Railway Co.
LONDON CHAMBER OF COMMERCE,London Chamber Of Commerce
HOTEL GRUNEWALD,Grunewald Hotel
HERALD SQUARE HOTEL,Herald Square Hotel
VICTORY HOTEL,Hotel Victory
HOTEL NORMANDIE,Hotel Normandie
KING CHRISTIAN IX OF DENMARK,King Christian Ix Of Denmark
RED STAR LINE- ANTWERPEN -NY,Red Star Line - Antwerpen - Ny
POLICE SURGEONS ASSOCIATION OF PHILADELPHIA,Police Surgeons Association Of Philadelphia
EDWARD SMITH & CO.,Edward Smith & Co.
THE HYGEIA HOTEL,The Hygeia Hotel
MANHATTAN SINGLE TAX CLUB,Manhattan Single Tax Club
ALLEGEMEINE CARTENBAU-AUSSTELLUNG,Allegemeine Cartenbau-ausstellung
PUTNEY'S,Putneys
HARDWARE MERCHANTS ASSOCIATION OF PHILADELPHIA,Hardware Merchants Association Of Philadelphia
SOCIETY OF THE SOCIETY OF COLONIAL WARS IN THE STATE OF NEW YORK,Society Of Colonial Wars In The State Of New York
THE CAMP-FIRE CLUB,The Camp-fire Club
REPUBLICANS,Republicans
PATENT LAW ASSOCIATON OF WASHINGTON,Patent Law Associaton Of Washington
SCOTIA LODGE NO. 634,Scotia Lodge No. 634
HOTEL AMPERSAND,Hotel Ampersand
U.S.S. VERMONT,U.S.S. Vermont
ARTHUR L. MERRIAM,Arthur L. Merriam
COMMERCIAL CLUB OF CINCINNATI,Commercial Club Of Cincinnati
DORLON'S OYSTER HOUSE,Dorlons Oyster House
KEYSTONE RESTAURANT,Keystone Restaurant
AMERICAN PHARMMCEUTICAL ASSOCIATION,American Pharmmceutical Association
HILLEL LITERARY ASSOCIATION,Hillel Literary Association
FRIDAY NIGHT CLUB,Friday Night Club
HOTEL BRISTOL,Bristol Hotel
NEW JERSEY STATE BAR ASSOCIATION,New Jersey State Bar Association
USMA,Usma
THE HOLBORN RESTAURANT,The Holborn Restaurant
ROCHESTER ENGINEERING SOCIETY,Rochester Engineering Society
ST. PAUL SCHOOL ALUMNI,St. Paul School Alumni
WESTCHESTER COUNTY BAR ASSOCIATION,Westchester County Bar Association
ASSOCIATION OF AMERICAN PHYSICIANS,Association Of American Physicians
SCHWEIZERHOF & LUZERNERHOF,Schweizerhof & Luzernerhof
'ST,St
NEW YOK JEWELERS BOARD OF TRADE,New Yok Jewelers Board Of Trade
NORTHPORT YACHT CLUB,Northport Yacht Club
WHOLESALE SADDLERY ASSOCIATION,Wholesale Saddlery Association
CITIZENS OF NASSAUI,Citizens Of Nassaui
Drones,Drones
Le Prince De Galles,Le Prince De Galles
Schlosshotel Gehrhus,Schlosshotel Gehrhus
La Vie en Rose,La Vie En Rose
Georges Blanc,Georges Blanc
le petit bedon,Le Petit Bedon
Ambassador Snack,Ambassador Snack
The Chinese Rathskeller,The Chinese Rathskeller
International Geneva Association,International Geneva Association
L'Aiglon,Laiglon
'The Rochester Chamber Of Commerce Convention Hall,The Rochester Chamber Of Commerce Convention Hall
'Breakfast,Breakfast
'Hotel Astor,Hotel Astor
ALEXANDER,Alexander
Foley's Terrace,Foleys Terrace
Shadowbrook,Shadowbrook
Rumpelmayer's,Rumpelmayers
The Coffee House,The Coffee House
Hotel Eugenia Victoria,Hotel Eugenia Victoria
New York Hilton Hotel,New York Hilton Hotel
'T.S.S. \Ocean Monarch\''''',T.S.S. Ocean Monarch
Forsgate Country Club,Forsgate Country Club
'Tv. \Michelangelo\''''',Tv. Michelangelo
Neuman & Bogdonoff,Neuman & Bogdonoff
Parson's Seafood Restaurant,Parsons Seafood Restaurant
The Waldorf Astoria; Grand Ballroom,The Waldorf Astoria; Grand Ballroom
London Hilton   The Ballroom,London Hilton The Ballroom
Essex House At The Colonnades,Essex House At The Colonnades
El 91,El 91
Victor's Bar,Victors Bar
Miller Brothers,Miller Brothers
Hotel Taft Grill,Hotel Taft Grill
Hotel Nicollet,Hotel Nicollet
Stonewall Jackson Hotel,Stonewall Jackson Hotel
Club De Banqueros,Club De Banqueros
3dje Etasje MÃ¸llhausen,3dje Etasje Ma¸llhausen
The Stevens,The Stevens
Revere Room,Revere Room
Hotel Ambassador,Ambassador Hotel
Taj,Taj
The Hotel Roosevelt,The Hotel Roosevelt
Les Jardin Des Jardins,Les Jardin Des Jardins
National Republican Club House [?],National Republican Club House 
S.S. Majestic,S.S. Majestic
El Tovar,El Tovar
U.S.S. Arkansas,U.S.S. Arkansas
Mills Building Restaurant,Mills Building Restaurant
Thwaite's Shore House,Thwaites Shore House
Nadal's CafÃ© and Restaurant,Nadals Cafac And Restaurant
Hotel Albemarle Hoffman,Hotel Albemarle Hoffman
The Buffalo Orpheus,The Buffalo Orpheus
Ritz Carlton New York,Ritz Carlton New York
Yale University,Yale University
NEW STATE HOUSE,New State House
EBBITT HOUSE,Ebbitt House
LEGGERA ASSOCIATION,Leggera Association
CHATEAU FRONTENAC,Chateau Frontenac
PACIFIC MAIL SS CO.,Pacific Mail Ss Co.
UNITARIAN FESTIVAL,Unitarian Festival
NEIL HOUSE,Neil House
WILLIAMS ALUMNI ASSOCIATION OF NEW YORK,Williams Alumni Association Of New York
SHERRY'S,Sherrys
PULLMAN BUFFET,Pullman Buffet
HOTEL ST. REGIS,Hotel St. Regis
L,L
A. AND A.S.R.,A. And A.S.R.
LOGAN HOUSE,Logan House
NIPPON YUSEN KAISHA - S.S.KOBI MARU,Nippon Yusen Kaisha - S.S.Kobi Maru
HUBEL'S RESTAURANT AND HOTEL,Hubels Restaurant And Hotel
U.S.S.SAN FRANCISCO,U.S.S.San Francisco
QUEEN'S OWN RIFLES OF CANADA,Queens Own Rifles Of Canada
THE CLOVER CLUB,The Clover Club
TRAFALGAR ?,Trafalgar 
THE PLACE,The Place
LAKE VIEW HOUSE,Lake View House
LACKAWANNA RAILROAD DINING ROOM,Lackawanna Railroad Dining Room
PREBLE HOUSE,Preble House
MANUFACTURERS CLUB OF PHILADELPHIA,Manufacturers Club Of Philadelphia
(AMERICAN LEGATION),American Legation
GOVERNOR JAMES H. HIGGINS,Governor James H. Higgins
MUSICA DEGLI ALLIEVI CARACINIERI,Musica Degli Allievi Caracinieri
CENTRAL DINING ROOM AND RESTAURANT,Central Dining Room And Restaurant
QUEEN'S ROYAL WEST KENT REGIMENT,Queens Royal West Kent Regiment
GILLESPIE'S RESTAURANT,Gillespies Restaurant
FRIENDLY SONS OF ST PATRICK,Friendly Sons Of St Patrick
THE ANNEX,The Annex
ELLICOTT CLUB,Ellicott Club
WHOLESALE SADDLERY ASSOCIATION OF THE UNITED STATES,Wholesale Saddlery Association Of The United States
RAFAEL PEON Y LOZA,Rafael Peon Y Loza
BLATT COUNTY MEDICAL SOCIETY,Blatt County Medical Society
ST. DAVID'S BENEVOLENT SOCIETY OF THE CITIES OF NEW YORK AND BROOKLYN,St. Davids Benevolent Society Of The Cities Of New York And Brooklyn
FLAT IRON RESTAURANT & CAFE,Flat Iron Restaurant & Cafe
R.W.AND M.L. EHLERS,R.W.And M.L. Ehlers
FRIENDS OF HON.JOHN P. WINDOLPH,Friends Of Hon.John P. Windolph
H.M.S. EURYALUS,H.M.S. Euryalus
THE RICHELIEU & ONTARIO NAVIGATION CO.,The Richelieu & Ontario Navigation Co.
NEW YORK & LIVERPOOL U.S. MAIL STEAMER  ARCTIC,New York & Liverpool U.S. Mail Steamer Arctic
(POLICE OR FIRE DEPARTMENT?),Police Or Fire Department
Kallaren Diana,Kallaren Diana
Baguita Trattoria Toscana,Baguita Trattoria Toscana
Grand Hotel Restaurant Central,Grand Hotel Restaurant Central
Au Cochon D'Or,Au Cochon Dor
L'Ommie's,Lommies
Relais Plaza,Relais Plaza
Fuchsen-Stuben,Fuchsen-stuben
The Plaza,The Plaza
'Fourth Annual Dinner,Fourth Annual Dinner
The Little Campus Inn,The Little Campus Inn
MÃ¼hlenkanper FÃ¤hrhaus,Mahhlenkanper Faohrhaus
Rudi's,Rudis
Pschorr Bierhallen,Pschorr Bierhallen
Pear And Pardritge,Pear And Pardritge
Mayfair Farms,Mayfair Farms
Hotel Pierre Marques,Hotel Pierre Marques
The Flying Clipper Restaurant,The Flying Clipper Restaurant
Arnold's Turtle Vegetarian CafÃ©,Arnolds Turtle Vegetarian Cafac
The Roundtable,The Roundtable
The Green Mountain Restaurant Diner,The Green Mountain Restaurant Diner
Dogwood Room,Dogwood Room
Ratskeller MÅ±nchen,Ratskeller Må±nchen
La Choza,La Choza
Mr. William Shakespeare's,Mr. William Shakespeares
Dinkelacker HirschbrÃ¤u,Dinkelacker Hirschbraou
La Gondola,La Gondola
Sheraton East Hotel,Sheraton East Hotel
George Phillips' Harbor House,George Phillips Harbor House
LÃ¶wenbrÃ¤u Gardens   New York World's Fair,LaJwenbraou Gardens New York Worlds Fair
'T/V \Cristoforo Colombo\''''',Tv Cristoforo Colombo
Athens Olympia CafÃ©,Athens Olympia Cafac
Kathy's Bakery & CafÃ©,Kathys Bakery & Cafac
Queen Elizabeth Ii,Queen Elizabeth Ii
Sirloin Room,Sirloin Room
Augustiner CaststrÃ¤tten,Augustiner Caststraotten
Cesapeake Restaurant,Cesapeake Restaurant
New Venetian Room,New Venetian Room
Dixie Flagler,Dixie Flagler
Rock Island Twin Star Rocket,Rock Island Twin Star Rocket
Roosevelt House,Roosevelt House
Myrtle Bank Hotel,Myrtle Bank Hotel
Paradise Manor,Paradise Manor
Hotel Drake Wiltshire,Hotel Drake Wiltshire
Ambassador Grill,Ambassador Grill
Rotisserie Du Cardinal,Rotisserie Du Cardinal
Hotel Muehlebach,Hotel Muehlebach
Rathskeller,Rathskeller
Hotel Bevan,Hotel Bevan
Long Island Business College Hall,Long Island Business College Hall
Daylight Luncheon,Daylight Luncheon
Fleischmann's Vienna Restaurant,Fleischmanns Vienna Restaurant
The London Lounge,The London Lounge
U.S. Naval Training Station,U.S. Naval Training Station
Pennsylvania Railroad Restaurants,Pennsylvania Railroad Restaurants
Long Island Business College,Long Island Business College
The Merchants' Club,The Merchants Club
 Jr.',Jr.
Hotel Champlain,Hotel Champlain
Cafeteria Buffet,Cafeteria Buffet
THE ALBANY,The Albany
HOTEL JERMYN,Hotel Jermyn
CHILDS' LUNCH ROOMS,Childs Lunch Rooms
DEPEW INN,Depew Inn
USMS,U.S.M.S
(HARVARD CLUB),Harvard Club
CHILDS' LUNCH ROOM,Childs Lunch Room
OREGON SHORT LINE DINING CAR SERVICE,Oregon Short Line Dining Car Service
OREGON RAILROAD & NAVIGATION CO.,Oregon Railroad & Navigation Co.
FLEISCHMANN'S VIENNA MODEL BAKERY,Fleischmanns Vienna Model Bakery
TATLER'S HOTEL,Tatlers Hotel
CANADIAN PACIFIC RAILWAY CO. - S.S. ATHABASCA,Canadian Pacific Railway Co. - S.S. Athabasca
SONS OF THE REVOLUTION OF MISSOURI,Sons Of The Revolution Of Missouri
HOTEL CHITTENDEN,Hotel Chittenden
(NDCITIZENS OF NEW YORK?),Ndcitizens Of New York
WAREHOUSEMENS' ASSOCIATION OF THE PORT OFNEW YORK AND THE NEW YORK FURNITURE WAREHOUSEMENS' ASSOCIATION,Warehousemens Association Of The Port Ofnew York And The New York Furniture Warehousemens Association
(DEMOCRATIC CLUB),Democratic Club
HORNELLSVILLE MEDICAL AND SURGICAL ASSOCIATION,Hornellsville Medical And Surgical Association
OUT-OF-TOWN CLUB,Out-of-town Club
RUBINSTEIN CLUB,Rubinstein Club
COTILLION CLUB,Cotillion Club
PAWNBROKERS' ASSOCIATION OF THE CITY OF NEW YORK,Pawnbrokers Association Of The City Of New York
'O.& O.S.S. ''COPTIC''',O.& O.S.S. Coptic
CHAMBER OF COMMERCE OF NEW HAVEN (CT),Chamber Of Commerce Of New Haven Ct
ATZUNGSZETTEL,Atzungszettel
PROFESSOR JOHN W. BURGESS ?,Professor John W. Burgess 
H.M.M.B.A.,H.M.M.B.A.
CRESCENT ATHLETIC CLUB,Crescent Athletic Club
GRAND HOTEL ST. JAMES,Grand Hotel St. James
MASONS,Masons
SOCIETY OF CINCINNATI IN THE STATE OF RHODE ISLAND,Society Of Cincinnati In The State Of Rhode Island
PROVINZIAL-LIEDERTAFEL,Provinzial-liedertafel
MONOPOL-HOTEL,Monopol-hotel
CLINTON HOTEL,Clinton Hotel
SHOE AND LEATHE MANUFACURERS,Shoe And Leathe Manufacurers
UNIONE PANETTIERI ITALIANI,Unione Panettieri Italiani
(MRS. H. MC K. TWOMBLEY),Mrs. H. Mc K. Twombley
EASTERN ALUMNI OF UNIVERSITY OF CHICAGO,Eastern Alumni Of University Of Chicago
NEWARK'S NEW CITY HALL OPENING,Newarks New City Hall Opening
BUSHWICK CLUB,Bushwick Club
THE WANAMAKER STORE TEA ROOM,The Wanamaker Store Tea Room
ROYAL ORDER OF SCOTLAND,Royal Order Of Scotland
Le Restaurant Lyonnais et ses Vieilles Traditions,Le Restaurant Lyonnais Et Ses Vieilles Traditions
La Posada de Santa Fe,La Posada De Santa Fe
St. Regis - Sheraton,St. Regis - Sheraton
The Versailles/Claude Monet-Giverny Foundation,The Versaillesclaude Monet-giverny Foundation
Park Avenue Cafe Townhouse,Park Avenue Cafe Townhouse
Le Coq de La Maison Blance,Le Coq De La Maison Blance
Le Vieux Galion,Le Vieux Galion
The King of the Sea,The King Of The Sea
Unkown,Unkown
Alcatraz Island,Alcatraz Island
Alumni Association of the College of Physicians and Surgeons of San Francisco,Alumni Association Of The College Of Physicians And Surgeons Of San Francisco
Quo Vadis Restaurant,Quo Vadis Restaurant
Persian Room,Persian Room
'Buffet Froid,Buffet Froid
Karras Beef House,Karras Beef House
Henry Thiele At The Dunes,Henry Thiele At The Dunes
The Irish Pavillion,The Irish Pavillion
Joe Colucci's Puccini Restaurant,Joe Coluccis Puccini Restaurant
The SautÃ© CafÃ©,The Sautac Cafac
Delegates Dining Room,Delegates Dining Room
The Atlanta,The Atlanta
'R.M.S. \Mauretania\''''',R.M.S. Mauretania
Lansing Country Club,Lansing Country Club
Ratsweinkeller Schoneberg Restaurant,Ratsweinkeller Schoneberg Restaurant
The Ballroom Of The Hotel Plaza,The Ballroom Of The Hotel Plaza
S.S.America,S.S.America
Turkey Roost,Turkey Roost
Hotel Del Coronado,Hotel Del Coronado
Jewish Community House,Jewish Community House
Hotel Jefferson,Hotel Jefferson
Hotel Lexington,Hotel Lexington
Cape Cod Room,Cape Cod Room
Duff's,Duffs
Shevlin's New Chop House,Shevlins New Chop House
Marine Grill,Marine Grill
Luncheonette,Luncheonette
The Hotel Vancouver,The Hotel Vancouver
Eaton's,Eatons
The Light Of Asia Restaurant,The Light Of Asia Restaurant
'S.S. ''Minnetonka''''''',S.S. Minnetonka
Matson Line,Matson Line
Elk's Club,Elks Club
Princeton Inn,Princeton Inn
The Aristocrat,The Aristocrat
Union Square Hotel,Union Square Hotel
Hotel Fort des Moines,Hotel Fort Des Moines
Ye Peg Woffington Coffee House,Ye Peg Woffington Coffee House
Masonic Building,Masonic Building
Holland Hall,Holland Hall
Greenhut-Siegel Cooper Co.,Greenhut-siegel Cooper Co.
Hotel Pfister,Hotel Pfister
Jeo's Restaurant,Jeos Restaurant
Jefferson Hotel,Hotel Jefferson
Gregory's Restaurant,Gregorys Restaurant
'CLYDE STEAMSHIP CO.,Clyde Steamship Co.
CLAREMONT HOTEL,Hotel Claremont
CHURCHILL HOTEL FIRE SUFFERERS,Churchill Hotel Fire Sufferers
NIPPON YUSEN KAISHA - S.S. KOBE FIARU,Nippon Yusen Kaisha - S.S. Kobe Fiaru
LOS ANGELES CONSISTORY #3,Los Angeles Consistory #3
SOUTHERN PACIFIC COMPANY,Southern Pacific Company
LUCHOW'S PAN-AMERICAN RESTAUANT CO.,Luchows Pan-american Restauant Co.
NORTHERN STEAMSHIP COMPANY,Northern Steamship Company
LOUISVILLE & NASHVILLE RAILROAAD - THE PULLMAN CO.,Louisville & Nashville Railroaad - The Pullman Co.
OCEANIC STEAMSHIP COMPANY - S.S. ZEALANDIA,Oceanic Steamship Company - S.S. Zealandia
(HOTEL ZUM HIRSCH),Hotel Zum Hirsch
WEST SIDE TRADE BROKERS ASS'N,West Side Trade Brokers Assn
GIBSON HOUSE,Gibson House
HUGOT'S,Hugots
EPISCOPAL SPECIAL,Episcopal Special
RED STAR LINE-ANTERPWN -NY,Red Star Line-anterpwn -ny
BLANCO'S,Blancos
ST. CHARLES HOTEL,St. Charles Hotel
ROUNDABOUT DINING CLUB,Roundabout Dining Club
31ST WARD BOARD OF TRADE,31st Ward Board Of Trade
NEW YORK UNIVERSITY ALUMNI ASSOCIATION,New York University Alumni Association
JAS. II. BRESLIN & BRO'S. HOTELS,Jas. Ii. Breslin & Bros. Hotels
THE SOCIETY OF THE (FRIENDS?),The Society Of The Friends
AMERICAN LEGATION,American Legation
WASHINGTON CONGREGATIONAL CLUB,Washington Congregational Club
R.M.S.MAJESTIC,R.M.S.Majestic
COMMANDER FRANK F.FLETCHER,Commander Frank F.Fletcher
COLOMBO CRICKET CLUB,Colombo Cricket Club
CAFE DE BORDEAUX,Cafe De Bordeaux
THE HOFFMAN HOUSE,The Hoffman House
BINGHAM HOUSE,Bingham House
GETTYSBURG HIGH SCHOOL LUMNI ASSOCIATION,Gettysburg High School Lumni Association
BUSINESS MEN'S LEAGUE OF ST.LOUIS,Business Mens League Of St.Louis
HOTEL CONTINENTAL,Continental Hotel
PAWTUCKET BOAT CLUB,Pawtucket Boat Club
DELTA KAPPA EPSILON FRAT.,Delta Kappa Epsilon Frat.
BIRMINGHAM ALUMNI ASSOCIATION OF THE UNIVERSITY OF THE SOUTH,Birmingham Alumni Association Of The University Of The South
VAN NUYS,Van Nuys
ITALIAN-AMERICAN CITIZENS OF THE SIXTH ASSEMBLY DISTRICT,Italian-american Citizens Of The Sixth Assembly District
MILLINERY TRAVELING MEN'S ASSOCIATION OF CHICAGO,Millinery Traveling Mens Association Of Chicago
YE OLDE DUTCH TAVERN,Ye Olde Dutch Tavern
NORTH WESTERN RR LINE,North Western Rr Line
SQUANTUM ASSOCIATION,Squantum Association
CONGRESS HOTEL,Congress Hotel
(KING LEOPOLD II OF BELGIUM AND QUEEN MARIE-HENRIETTE),King Leopold Ii Of Belgium And Queen Marie-henriette
SOCIETY OF MAYFLOWER DESCENDENTS,Society Of Mayflower Descendents
EPIPHANY BROTHERHOOD,Epiphany Brotherhood
SANITARIUM HOTEL,Sanitarium Hotel
CINCINNATI MEMBERS,Cincinnati Members
MASONIC CLUB,Masonic Club
AVON SOCIETY,Avon Society
THE SAN FRANCISCO HOTEL MEN'S ASSOCIATION,The San Francisco Hotel Mens Association
Restaurant Charles & Biggles Bar,Restaurant Charles & Biggles Bar
Het havenrestaurant,Het Havenrestaurant
Bali,Bali
De Hoop Op D'Swarte Walvis,De Hoop Op Dswarte Walvis
Herta Harmer Paulusstube,Herta Harmer Paulusstube
The Buena Vista,The Buena Vista
Ult-Berliner Gchnectenhaus,Ult-berliner Gchnectenhaus
Bareschuur,Bareschuur
Restaurant (Le Pavillon du Lac) du Parc Montsouris Le Jardin de la Paresse,Restaurant Le Pavillon Du Lac Du Parc Montsouris Le Jardin De La Paresse
Hotel Del Monte,Hotel Del Monte
TURKISH AMBASSADOR,Turkish Ambassador
The Cobble Stones,The Cobble Stones
Restaurant Franziskaner,Restaurant Franziskaner
The Harvard Club,The Harvard Club
The Palace,The Palace
Wiggins Tavern,Wiggins Tavern
Los Josan Restaurant,Los Josan Restaurant
St. Regis Roof,St. Regis Roof
S.S. United States,S.S. United States
Red Coach Grill,Red Coach Grill
S.S. Maasdam,S.S. Maasdam
Genroku Sushi,Genroku Sushi
Caribe Hiltom   Pool Terrace,Caribe Hiltom Pool Terrace
Red Rose Inn,Red Rose Inn
Longchamps,Longchamps
Savoy Grill,Savoy Grill
Leighton's Woodlands Lake Restaurant,Leightons Woodlands Lake Restaurant
The Hotel Beach Plaza,The Hotel Beach Plaza
Lou Marques,Lou Marques
Dobbs House,Dobbs House
Hotel Schlicker Bochum,Hotel Schlicker Bochum
Grand Ballroom,Grand Ballroom
Mike's Ship A Hoy,Mikes Ship A Hoy
Honiss Oyster House Co.,Honiss Oyster House Co.
Charlie's CafÃ© Exceptionale,Charlies Cafac Exceptionale
Klein's,Kleins
Cheaspeake House,Cheaspeake House
Monomonock Inn,Monomonock Inn
Hotel Lafayette,Hotel Lafayette
Robert Treat Hotel,Robert Treat Hotel
'''Paris''''''',Paris
'S.S. ''Republic''''''',S.S. Republic
Hotel Cecil,Hotel Cecil
The Grand Hotel Ltd.,The Grand Hotel Ltd.
The New Mills Hotel Restaurant and Lunch Counter,The New Mills Hotel Restaurant And Lunch Counter
Macy's,Macys
The Syrian Restaurant for Ladies' & Gents,The Syrian Restaurant For Ladies & Gents
Broadway Auditorium,Broadway Auditorium
The Copley-Plaza,The Copley-plaza
Hotel Griswold,Hotel Griswold
Hotel Schynige Platte und Hotel Bellevue,Hotel Schynige Platte Und Hotel Bellevue
MARIE ANTOINETTE HOTEL,Hotel Marie Antoinette
OCEAN STEAMSHOP CO.,Ocean Steamshop Co.
REFORM CLUB,Reform Club
PROVIDENT BUILDING,Provident Building
NORTHERN PACIFIC RAILWAY DINING CARD SERVICE,Northern Pacific Railway Dining Card Service
NEW ROCKINGHAM,New Rockingham
SOUTHERN PACIFIC COMPANY - DINING CAR SERVICE,Southern Pacific Company - Dining Car Service
VICTORIAN RESTAURANT,Victorian Restaurant
'POSSUM CLUB,Possum Club
NIPPON YUSEN KAISHA - S.S.ROSETTA MARU,Nippon Yusen Kaisha - S.S.Rosetta Maru
UNITED TYPOTHETAE OF AMERICA,United Typothetae Of America
