original_sponsor,clustered_sponsor
"CERCLE FRANCAID DE L'HARMONIE","CERCLE FRANCAID DE L'HARMONIE"
"LAKOTA HOTEL","LAKOTA HOTEL"
"EMPEROR OF JAPAN","EMPEROR OF JAPAN"
"LOUISIANA BANKERS ASSOCIATION","LOUISIANA BANKERS ASSOCIATION"
"ST. SAVEUR","ST. SAVEUR"
"Langan's Hotels Ltd.","Langan's Hotels Ltd."
"The Savoy","The Savoy"
"Le Souffle","Le Souffle"
"Engine House No 5","Engine House No 5"
"Le Moulin de Mougins","Le Moulin de Mougins"
"North Beach Restaurant","North Beach Restaurant"
"Breidenbacher Eck","Breidenbacher Eck"
"Indo Chine","Indo Chine"
"Kaiserhof","Kaiserhof"
"'Buffalo","'Buffalo"
"The New Yorker","The New Yorker"
"Park Lane; Park Lounge","Park Lane; Park Lounge"
"'Congress Hotel","'Congress Hotel"
"Café De Provencal","Café De Provencal"
"La Crépe","La Crépe"
"Clausing's Posthotel","Clausing's Posthotel"
"Hotel Restaurant Victoria","Hotel Restaurant Victoria"
"Top Of The Park","Top Of The Park"
"Virdan Restaurant","Virdan Restaurant"
"Port Orient","Port Orient"
"The Red Barn Restaurant And Lounge","The Red Barn Restaurant And Lounge"
"Miller Bros.","Miller Bros."
"Tsuruya","Tsuruya"
"Terrace Room","Terrace Room"
"Flying Clipper Restaurant","Flying Clipper Restaurant"
"Mammoth Cave Hotel","Mammoth Cave Hotel"
"Grand Ballroom Of The Hotel Plaza","Grand Ballroom Of The Hotel Plaza"
"Caughey's Pine Room","Caughey's Pine Room"
"Skyline Drive","Skyline Drive"
"Solowey's","Solowey's"
"The Chief","The Chief"
"Santa Fe Dining Car Service","Santa Fe Dining Car Service"
"Union Pacific Railroad Company","Union Pacific Railroad Company"
"Old Prague Restaurant","Old Prague Restaurant"
"The Engineer's Club","The Engineer's Club"
"The Monico","The Monico"
"'''Hamburg'''''''","'''Hamburg'''''''"
"Pfeiffer's","Pfeiffer's"
"Pennsylvania Hotel","Pennsylvania Hotel"
"'Joseph Schmidt","'Joseph Schmidt"
"The Chateau   Lake Louise","The Chateau   Lake Louise"
"Hotel Severin/Hotel Miami","Hotel Severin/Hotel Miami"
"St. Charles Hotel","St. Charles Hotel"
"U.S.S. Oklahoma","U.S.S. Oklahoma"
"Elks' Home","Elks' Home"
"Copley-Plaza","Copley-Plaza"
"Friars' Club House","Friars' Club House"
"Madison Square Garden","Madison Square Garden"
"Bellevue Hotel","Bellevue Hotel"
"Blackstone Hotel","Blackstone Hotel"
"Gardner & Smith","Gardner & Smith"
"Lorber's","Lorber's"
"CENTRAL RESTAURANT CO.","CENTRAL RESTAURANT CO."
"HOTEL ORMOND","HOTEL ORMOND"
"NIPPON YUSEN KAISHA - S.S.KOBE LIARU","NIPPON YUSEN KAISHA - S.S.KOBE LIARU"
"WISCONSIN CENTRAL RAILWAY CO.","WISCONSIN CENTRAL RAILWAY CO."
"LONDON CHAMBER OF COMMERCE","LONDON CHAMBER OF COMMERCE"
"HOTEL GRUNEWALD","HOTEL GRUNEWALD"
"HERALD SQUARE HOTEL","HERALD SQUARE HOTEL"
"VICTORY HOTEL","VICTORY HOTEL"
"HOTEL NORMANDIE","HOTEL NORMANDIE"
"KING CHRISTIAN IX OF DENMARK","KING CHRISTIAN IX OF DENMARK"
"RED STAR LINE- ANTWERPEN -NY","RED STAR LINE- ANTWERPEN -NY"
"POLICE SURGEONS ASSOCIATION OF PHILADELPHIA","POLICE SURGEONS ASSOCIATION OF PHILADELPHIA"
"EDWARD SMITH & CO.","EDWARD SMITH & CO."
"THE HYGEIA HOTEL","THE HYGEIA HOTEL"
"MANHATTAN SINGLE TAX CLUB","MANHATTAN SINGLE TAX CLUB"
"ALLEGEMEINE CARTENBAU-AUSSTELLUNG","ALLEGEMEINE CARTENBAU-AUSSTELLUNG"
"PUTNEY'S","PUTNEY'S"
"HARDWARE MERCHANTS ASSOCIATION OF PHILADELPHIA","HARDWARE MERCHANTS ASSOCIATION OF PHILADELPHIA"
"SOCIETY OF THE SOCIETY OF COLONIAL WARS IN THE STATE OF NEW YORK","SOCIETY OF THE SOCIETY OF COLONIAL WARS IN THE STATE OF NEW YORK"
"THE CAMP-FIRE CLUB","THE CAMP-FIRE CLUB"
"REPUBLICANS","REPUBLICANS"
"PATENT LAW ASSOCIATON OF WASHINGTON","PATENT LAW ASSOCIATON OF WASHINGTON"
"SCOTIA LODGE NO. 634","SCOTIA LODGE NO. 634"
"HOTEL AMPERSAND","HOTEL AMPERSAND"
"U.S.S. VERMONT","U.S.S. VERMONT"
"ARTHUR L. MERRIAM","ARTHUR L. MERRIAM"
"COMMERCIAL CLUB OF CINCINNATI","COMMERCIAL CLUB OF CINCINNATI"
"DORLON'S OYSTER HOUSE","DORLON'S OYSTER HOUSE"
"KEYSTONE RESTAURANT","KEYSTONE RESTAURANT"
"AMERICAN PHARMMCEUTICAL ASSOCIATION","AMERICAN PHARMMCEUTICAL ASSOCIATION"
"HILLEL LITERARY ASSOCIATION","HILLEL LITERARY ASSOCIATION"
"FRIDAY NIGHT CLUB","FRIDAY NIGHT CLUB"
"HOTEL BRISTOL","HOTEL BRISTOL"
"NEW JERSEY STATE BAR ASSOCIATION","NEW JERSEY STATE BAR ASSOCIATION"
"USMA","USMA"
"THE HOLBORN RESTAURANT","THE HOLBORN RESTAURANT"
"ROCHESTER ENGINEERING SOCIETY","ROCHESTER ENGINEERING SOCIETY"
"ST. PAUL SCHOOL ALUMNI","ST. PAUL SCHOOL ALUMNI"
"WESTCHESTER COUNTY BAR ASSOCIATION","WESTCHESTER COUNTY BAR ASSOCIATION"
"ASSOCIATION OF AMERICAN PHYSICIANS","ASSOCIATION OF AMERICAN PHYSICIANS"
"SCHWEIZERHOF & LUZERNERHOF","SCHWEIZERHOF & LUZERNERHOF"
"'ST","'ST"
"NEW YOK JEWELERS BOARD OF TRADE","NEW YOK JEWELERS BOARD OF TRADE"
"NORTHPORT YACHT CLUB","NORTHPORT YACHT CLUB"
"WHOLESALE SADDLERY ASSOCIATION","WHOLESALE SADDLERY ASSOCIATION"
"CITIZENS OF NASSAUI","CITIZENS OF NASSAUI"
"Drones","Drones"
"Le Prince De Galles","Le Prince De Galles"
"Schlosshotel Gehrhus","Schlosshotel Gehrhus"
"La Vie en Rose","La Vie en Rose"
"Georges Blanc","Georges Blanc"
"le petit bedon","le petit bedon"
"Ambassador Snack","Ambassador Snack"
"The Chinese Rathskeller","The Chinese Rathskeller"
"International Geneva Association","International Geneva Association"
"L'Aiglon","L'Aiglon"
"'The Rochester Chamber Of Commerce Convention Hall","'The Rochester Chamber Of Commerce Convention Hall"
"'Breakfast","'Breakfast"
"'Hotel Astor","'Hotel Astor"
"ALEXANDER","ALEXANDER"
"Foley's Terrace","Foley's Terrace"
"Shadowbrook","Shadowbrook"
"Rumpelmayer's","Rumpelmayer's"
"The Coffee House","The Coffee House"
"Hotel Eugenia Victoria","Hotel Eugenia Victoria"
"New York Hilton Hotel","New York Hilton Hotel"
"'T.S.S. \Ocean Monarch\'''''","'T.S.S. \Ocean Monarch\'''''"
"Forsgate Country Club","Forsgate Country Club"
"'Tv. \Michelangelo\'''''","'Tv. \Michelangelo\'''''"
"Neuman & Bogdonoff","Neuman & Bogdonoff"
"Parson's Seafood Restaurant","Parson's Seafood Restaurant"
"The Waldorf Astoria; Grand Ballroom","The Waldorf Astoria; Grand Ballroom"
"London Hilton   The Ballroom","London Hilton   The Ballroom"
"Essex House At The Colonnades","Essex House At The Colonnades"
"El 91","El 91"
"Victor's Bar","Victor's Bar"
"Miller Brothers","Miller Brothers"
"Hotel Taft Grill","Hotel Taft Grill"
"Hotel Nicollet","Hotel Nicollet"
"Stonewall Jackson Hotel","Stonewall Jackson Hotel"
"Club De Banqueros","Club De Banqueros"
"3dje Etasje Møllhausen","3dje Etasje Møllhausen"
"The Stevens","The Stevens"
"Revere Room","Revere Room"
"Hotel Ambassador","Hotel Ambassador"
"Taj","Taj"
"The Hotel Roosevelt","The Hotel Roosevelt"
"Les Jardin Des Jardins","Les Jardin Des Jardins"
"National Republican Club House [?]","National Republican Club House [?]"
"S.S. Majestic","S.S. Majestic"
"El Tovar","El Tovar"
"U.S.S. Arkansas","U.S.S. Arkansas"
"Mills Building Restaurant","Mills Building Restaurant"
"Thwaite's Shore House","Thwaite's Shore House"
"Nadal's Café and Restaurant","Nadal's Café and Restaurant"
"Hotel Albemarle Hoffman","Hotel Albemarle Hoffman"
"The Buffalo Orpheus","The Buffalo Orpheus"
"Ritz Carlton New York","Ritz Carlton New York"
"Yale University","Yale University"
"NEW STATE HOUSE","NEW STATE HOUSE"
"EBBITT HOUSE","EBBITT HOUSE"
"LEGGERA ASSOCIATION","LEGGERA ASSOCIATION"
"CHATEAU FRONTENAC","CHATEAU FRONTENAC"
"PACIFIC MAIL SS CO.","PACIFIC MAIL SS CO."
"UNITARIAN FESTIVAL","UNITARIAN FESTIVAL"
"NEIL HOUSE","NEIL HOUSE"
"WILLIAMS ALUMNI ASSOCIATION OF NEW YORK","WILLIAMS ALUMNI ASSOCIATION OF NEW YORK"
"SHERRY'S","SHERRY'S"
"PULLMAN BUFFET","PULLMAN BUFFET"
"HOTEL ST. REGIS","HOTEL ST. REGIS"
"L","L"
"A. AND A.S.R.","A. AND A.S.R."
"LOGAN HOUSE","LOGAN HOUSE"
"NIPPON YUSEN KAISHA - S.S.KOBI MARU","NIPPON YUSEN KAISHA - S.S.KOBI MARU"
"HUBEL'S RESTAURANT AND HOTEL","HUBEL'S RESTAURANT AND HOTEL"
"U.S.S.SAN FRANCISCO","U.S.S.SAN FRANCISCO"
"QUEEN'S OWN RIFLES OF CANADA","QUEEN'S OWN RIFLES OF CANADA"
"THE CLOVER CLUB","THE CLOVER CLUB"
"TRAFALGAR ?","TRAFALGAR ?"
"THE PLACE","THE PLACE"
"LAKE VIEW HOUSE","LAKE VIEW HOUSE"
"LACKAWANNA RAILROAD DINING ROOM","LACKAWANNA RAILROAD DINING ROOM"
"PREBLE HOUSE","PREBLE HOUSE"
"MANUFACTURERS CLUB OF PHILADELPHIA","MANUFACTURERS CLUB OF PHILADELPHIA"
"(AMERICAN LEGATION)","(AMERICAN LEGATION)"
"GOVERNOR JAMES H. HIGGINS","GOVERNOR JAMES H. HIGGINS"
"MUSICA DEGLI ALLIEVI CARACINIERI","MUSICA DEGLI ALLIEVI CARACINIERI"
"CENTRAL DINING ROOM AND RESTAURANT","CENTRAL DINING ROOM AND RESTAURANT"
"QUEEN'S ROYAL WEST KENT REGIMENT","QUEEN'S ROYAL WEST KENT REGIMENT"
"GILLESPIE'S RESTAURANT","GILLESPIE'S RESTAURANT"
"FRIENDLY SONS OF ST PATRICK","FRIENDLY SONS OF ST PATRICK"
"THE ANNEX","THE ANNEX"
"ELLICOTT CLUB","ELLICOTT CLUB"
"WHOLESALE SADDLERY ASSOCIATION OF THE UNITED STATES","WHOLESALE SADDLERY ASSOCIATION OF THE UNITED STATES"
"RAFAEL PEON Y LOZA","RAFAEL PEON Y LOZA"
"BLATT COUNTY MEDICAL SOCIETY","BLATT COUNTY MEDICAL SOCIETY"
"ST. DAVID'S BENEVOLENT SOCIETY OF THE CITIES OF NEW YORK AND BROOKLYN","ST. DAVID'S BENEVOLENT SOCIETY OF THE CITIES OF NEW YORK AND BROOKLYN"
"FLAT IRON RESTAURANT & CAFE","FLAT IRON RESTAURANT & CAFE"
"R.W.AND M.L. EHLERS","R.W.AND M.L. EHLERS"
"FRIENDS OF HON.JOHN P. WINDOLPH","FRIENDS OF HON.JOHN P. WINDOLPH"
"H.M.S. EURYALUS","H.M.S. EURYALUS"
"THE RICHELIEU & ONTARIO NAVIGATION CO.","THE RICHELIEU & ONTARIO NAVIGATION CO."
"NEW YORK & LIVERPOOL U.S. MAIL STEAMER  ARCTIC","NEW YORK & LIVERPOOL U.S. MAIL STEAMER  ARCTIC"
"(POLICE OR FIRE DEPARTMENT?)","(POLICE OR FIRE DEPARTMENT?)"
"Kallaren Diana","Kallaren Diana"
"Baguita Trattoria Toscana","Baguita Trattoria Toscana"
"Grand Hotel Restaurant Central","Grand Hotel Restaurant Central"
"Au Cochon D'Or","Au Cochon D'Or"
"L'Ommie's","L'Ommie's"
"Relais Plaza","Relais Plaza"
"Fuchsen-Stuben","Fuchsen-Stuben"
"The Plaza","The Plaza"
"'Fourth Annual Dinner","'Fourth Annual Dinner"
"The Little Campus Inn","The Little Campus Inn"
"Mühlenkanper Fährhaus","Mühlenkanper Fährhaus"
"Rudi's","Rudi's"
"Pschorr Bierhallen","Pschorr Bierhallen"
"Pear And Pardritge","Pear And Pardritge"
"Mayfair Farms","Mayfair Farms"
"Hotel Pierre Marques","Hotel Pierre Marques"
"The Flying Clipper Restaurant","The Flying Clipper Restaurant"
"Arnold's Turtle Vegetarian Café","Arnold's Turtle Vegetarian Café"
"The Roundtable","The Roundtable"
"The Green Mountain Restaurant Diner","The Green Mountain Restaurant Diner"
"Dogwood Room","Dogwood Room"
"Ratskeller Műnchen","Ratskeller Műnchen"
"La Choza","La Choza"
"Mr. William Shakespeare's","Mr. William Shakespeare's"
"Dinkelacker Hirschbräu","Dinkelacker Hirschbräu"
"La Gondola","La Gondola"
"Sheraton East Hotel","Sheraton East Hotel"
"George Phillips' Harbor House","George Phillips' Harbor House"
"Löwenbräu Gardens   New York World's Fair","Löwenbräu Gardens   New York World's Fair"
"'T/V \Cristoforo Colombo\'''''","'T/V \Cristoforo Colombo\'''''"
"Athens Olympia Café","Athens Olympia Café"
"Kathy's Bakery & Café","Kathy's Bakery & Café"
"Queen Elizabeth Ii","Queen Elizabeth Ii"
"Sirloin Room","Sirloin Room"
"Augustiner Caststrätten","Augustiner Caststrätten"
"Cesapeake Restaurant","Cesapeake Restaurant"
"New Venetian Room","New Venetian Room"
"Dixie Flagler","Dixie Flagler"
"Rock Island Twin Star Rocket","Rock Island Twin Star Rocket"
"Roosevelt House","Roosevelt House"
"Myrtle Bank Hotel","Myrtle Bank Hotel"
"Paradise Manor","Paradise Manor"
"Hotel Drake Wiltshire","Hotel Drake Wiltshire"
"Ambassador Grill","Ambassador Grill"
"Rotisserie Du Cardinal","Rotisserie Du Cardinal"
"Hotel Muehlebach","Hotel Muehlebach"
"Rathskeller","Rathskeller"
"Hotel Bevan","Hotel Bevan"
"Long Island Business College Hall","Long Island Business College Hall"
"Daylight Luncheon","Daylight Luncheon"
"Fleischmann's Vienna Restaurant","Fleischmann's Vienna Restaurant"
"The London Lounge","The London Lounge"
"U.S. Naval Training Station","U.S. Naval Training Station"
"Pennsylvania Railroad Restaurants","Pennsylvania Railroad Restaurants"
"Long Island Business College","Long Island Business College"
"The Merchants' Club","The Merchants' Club"
" Jr.'"," Jr.'"
"Hotel Champlain","Hotel Champlain"
"Cafeteria Buffet","Cafeteria Buffet"
"THE ALBANY","THE ALBANY"
"HOTEL JERMYN","HOTEL JERMYN"
"CHILDS' LUNCH ROOMS","CHILDS' LUNCH ROOMS"
"DEPEW INN","DEPEW INN"
"USMS","USMS"
"(HARVARD CLUB)","(HARVARD CLUB)"
"CHILDS' LUNCH ROOM","CHILDS' LUNCH ROOM"
"OREGON SHORT LINE DINING CAR SERVICE","OREGON SHORT LINE DINING CAR SERVICE"
"OREGON RAILROAD & NAVIGATION CO.","OREGON RAILROAD & NAVIGATION CO."
"FLEISCHMANN'S VIENNA MODEL BAKERY","FLEISCHMANN'S VIENNA MODEL BAKERY"
"TATLER'S HOTEL","TATLER'S HOTEL"
"CANADIAN PACIFIC RAILWAY CO. - S.S. ATHABASCA","CANADIAN PACIFIC RAILWAY CO. - S.S. ATHABASCA"
"SONS OF THE REVOLUTION OF MISSOURI","SONS OF THE REVOLUTION OF MISSOURI"
"HOTEL CHITTENDEN","HOTEL CHITTENDEN"
"(NDCITIZENS OF NEW YORK?)","(NDCITIZENS OF NEW YORK?)"
"WAREHOUSEMENS' ASSOCIATION OF THE PORT OFNEW YORK AND THE NEW YORK FURNITURE WAREHOUSEMENS' ASSOCIATION","WAREHOUSEMENS' ASSOCIATION OF THE PORT OFNEW YORK AND THE NEW YORK FURNITURE WAREHOUSEMENS' ASSOCIATION"
"(DEMOCRATIC CLUB)","(DEMOCRATIC CLUB)"
"HORNELLSVILLE MEDICAL AND SURGICAL ASSOCIATION","HORNELLSVILLE MEDICAL AND SURGICAL ASSOCIATION"
"OUT-OF-TOWN CLUB","OUT-OF-TOWN CLUB"
"RUBINSTEIN CLUB","RUBINSTEIN CLUB"
"COTILLION CLUB","COTILLION CLUB"
"PAWNBROKERS' ASSOCIATION OF THE CITY OF NEW YORK","PAWNBROKERS' ASSOCIATION OF THE CITY OF NEW YORK"
"'O.& O.S.S. ''COPTIC'''","'O.& O.S.S. ''COPTIC'''"
"CHAMBER OF COMMERCE OF NEW HAVEN (CT)","CHAMBER OF COMMERCE OF NEW HAVEN (CT)"
"ATZUNGSZETTEL","ATZUNGSZETTEL"
"PROFESSOR JOHN W. BURGESS ?","PROFESSOR JOHN W. BURGESS ?"
"H.M.M.B.A.","H.M.M.B.A."
"CRESCENT ATHLETIC CLUB","CRESCENT ATHLETIC CLUB"
"GRAND HOTEL ST. JAMES","GRAND HOTEL ST. JAMES"
"MASONS","MASONS"
"SOCIETY OF CINCINNATI IN THE STATE OF RHODE ISLAND","SOCIETY OF CINCINNATI IN THE STATE OF RHODE ISLAND"
"PROVINZIAL-LIEDERTAFEL","PROVINZIAL-LIEDERTAFEL"
"MONOPOL-HOTEL","MONOPOL-HOTEL"
"CLINTON HOTEL","CLINTON HOTEL"
"SHOE AND LEATHE MANUFACURERS","SHOE AND LEATHE MANUFACURERS"
"UNIONE PANETTIERI ITALIANI","UNIONE PANETTIERI ITALIANI"
"(MRS. H. MC K. TWOMBLEY)","(MRS. H. MC K. TWOMBLEY)"
"EASTERN ALUMNI OF UNIVERSITY OF CHICAGO","EASTERN ALUMNI OF UNIVERSITY OF CHICAGO"
"NEWARK'S NEW CITY HALL OPENING","NEWARK'S NEW CITY HALL OPENING"
"BUSHWICK CLUB","BUSHWICK CLUB"
"THE WANAMAKER STORE TEA ROOM","THE WANAMAKER STORE TEA ROOM"
"ROYAL ORDER OF SCOTLAND","ROYAL ORDER OF SCOTLAND"
"Le Restaurant Lyonnais et ses Vieilles Traditions","Le Restaurant Lyonnais et ses Vieilles Traditions"
"La Posada de Santa Fe","La Posada de Santa Fe"
"St. Regis - Sheraton","St. Regis - Sheraton"
"The Versailles/Claude Monet-Giverny Foundation","The Versailles/Claude Monet-Giverny Foundation"
"Park Avenue Cafe Townhouse","Park Avenue Cafe Townhouse"
"Le Coq de La Maison Blance","Le Coq de La Maison Blance"
"Le Vieux Galion","Le Vieux Galion"
"The King of the Sea","The King of the Sea"
"Unkown","Unkown"
"Alcatraz Island","Alcatraz Island"
"Alumni Association of the College of Physicians and Surgeons of San Francisco","Alumni Association of the College of Physicians and Surgeons of San Francisco"
"Quo Vadis Restaurant","Quo Vadis Restaurant"
"Persian Room","Persian Room"
"'Buffet Froid","'Buffet Froid"
"Karras Beef House","Karras Beef House"
"Henry Thiele At The Dunes","Henry Thiele At The Dunes"
"The Irish Pavillion","The Irish Pavillion"
"Joe Colucci's Puccini Restaurant","Joe Colucci's Puccini Restaurant"
"The Sauté Café","The Sauté Café"
"Delegates Dining Room","Delegates Dining Room"
"The Atlanta","The Atlanta"
"'R.M.S. \Mauretania\'''''","'R.M.S. \Mauretania\'''''"
"Lansing Country Club","Lansing Country Club"
"Ratsweinkeller Schoneberg Restaurant","Ratsweinkeller Schoneberg Restaurant"
"The Ballroom Of The Hotel Plaza","The Ballroom Of The Hotel Plaza"
"S.S.America","S.S.America"
"Turkey Roost","Turkey Roost"
"Hotel Del Coronado","Hotel Del Coronado"
"Jewish Community House","Jewish Community House"
"Hotel Jefferson","Hotel Jefferson"
"Hotel Lexington","Hotel Lexington"
"Cape Cod Room","Cape Cod Room"
"Duff's","Duff's"
"Shevlin's New Chop House","Shevlin's New Chop House"
"Marine Grill","Marine Grill"
"Luncheonette","Luncheonette"
"The Hotel Vancouver","The Hotel Vancouver"
"Eaton's","Eaton's"
"The Light Of Asia Restaurant","The Light Of Asia Restaurant"
"'S.S. ''Minnetonka'''''''","'S.S. ''Minnetonka'''''''"
"Matson Line","Matson Line"
"Elk's Club","Elk's Club"
"Princeton Inn","Princeton Inn"
"The Aristocrat","The Aristocrat"
"Union Square Hotel","Union Square Hotel"
"Hotel Fort des Moines","Hotel Fort des Moines"
"Ye Peg Woffington Coffee House","Ye Peg Woffington Coffee House"
"Masonic Building","Masonic Building"
"Holland Hall","Holland Hall"
"Greenhut-Siegel Cooper Co.","Greenhut-Siegel Cooper Co."
"Hotel Pfister","Hotel Pfister"
"Jeo's Restaurant","Jeo's Restaurant"
"Jefferson Hotel","Jefferson Hotel"
"Gregory's Restaurant","Gregory's Restaurant"
"'CLYDE STEAMSHIP CO.","'CLYDE STEAMSHIP CO."
"CLAREMONT HOTEL","CLAREMONT HOTEL"
"CHURCHILL HOTEL FIRE SUFFERERS","CHURCHILL HOTEL FIRE SUFFERERS"
"NIPPON YUSEN KAISHA - S.S. KOBE FIARU","NIPPON YUSEN KAISHA - S.S. KOBE FIARU"
"LOS ANGELES CONSISTORY #3","LOS ANGELES CONSISTORY #3"
"SOUTHERN PACIFIC COMPANY","SOUTHERN PACIFIC COMPANY"
"LUCHOW'S PAN-AMERICAN RESTAUANT CO.","LUCHOW'S PAN-AMERICAN RESTAUANT CO."
"NORTHERN STEAMSHIP COMPANY","NORTHERN STEAMSHIP COMPANY"
"LOUISVILLE & NASHVILLE RAILROAAD - THE PULLMAN CO.","LOUISVILLE & NASHVILLE RAILROAAD - THE PULLMAN CO."
"OCEANIC STEAMSHIP COMPANY - S.S. ZEALANDIA","OCEANIC STEAMSHIP COMPANY - S.S. ZEALANDIA"
"(HOTEL ZUM HIRSCH)","(HOTEL ZUM HIRSCH)"
"WEST SIDE TRADE BROKERS ASS'N","WEST SIDE TRADE BROKERS ASS'N"
"GIBSON HOUSE","GIBSON HOUSE"
"HUGOT'S","HUGOT'S"
"EPISCOPAL SPECIAL","EPISCOPAL SPECIAL"
"RED STAR LINE-ANTERPWN -NY","RED STAR LINE-ANTERPWN -NY"
"BLANCO'S","BLANCO'S"
"ST. CHARLES HOTEL","ST. CHARLES HOTEL"
"ROUNDABOUT DINING CLUB","ROUNDABOUT DINING CLUB"
"31ST WARD BOARD OF TRADE","31ST WARD BOARD OF TRADE"
"NEW YORK UNIVERSITY ALUMNI ASSOCIATION","NEW YORK UNIVERSITY ALUMNI ASSOCIATION"
"JAS. II. BRESLIN & BRO'S. HOTELS","JAS. II. BRESLIN & BRO'S. HOTELS"
"THE SOCIETY OF THE (FRIENDS?)","THE SOCIETY OF THE (FRIENDS?)"
"AMERICAN LEGATION","AMERICAN LEGATION"
"WASHINGTON CONGREGATIONAL CLUB","WASHINGTON CONGREGATIONAL CLUB"
"R.M.S.MAJESTIC","R.M.S.MAJESTIC"
"COMMANDER FRANK F.FLETCHER","COMMANDER FRANK F.FLETCHER"
"COLOMBO CRICKET CLUB","COLOMBO CRICKET CLUB"
