original_sponsor,clustered_sponsor
Yonnie's Pennsylvania Dutch Week Ends And Favorite Foods,Yonnie's Pennsylvania Dutch Week Ends And Favorite Foods
Tip Toe Inn,Tip Toe Inn
The Shamrock,The Shamrock
La Canzone Del Mare,La Canzone Del Mare
Grillen,Grillen
Hotel Commodore,Commodore Hotel
Leon & Eddie's,Leon & Eddie's
Hotel Winthrop,Hotel Winthrop
The Cavern CafÃ©,The Cavern Cafã©
Mount Royal Hotel,Mount Royal Hotel
The Empire Tea Room,The Empire Tea Room
'R.M.S. ''Queen Mary''''''','r.M.S. ''queen Mary'''''''
The Waldorf Astoria Ballroom,The Waldorf Astoria
Pullman Car Service,Pullman Car Service
S.S. American Importer,S.S. American Importer
The Mouquin Restaurant And Wine Co.,The Mouquin Restaurant And Wine Co.
The Homestead Gwinn,The Homestead Gwinn
Hotel Ansonia,Hotel Ansonia
CafÃ© Mellone,Cafã© Mellone
Mercantile Lunch Co.,Mercantile Lunch Co.
The Lawrence,The Lawrence
The Crown Hotel,The Crown Hotel
Ten Eyck Hotel,Ten Eyck Hotel
The Shelburne,The Shelburne
BOSTON BOOT & SHOE CLUB,Boston Boot & Shoe Club
BARTHOLDI HOTEL,Bartholdi Hotel
HOTEL DEL CORONADO,Del Coronado Hotel
NEW ENGLAND SHORTHAND REPORTER'S ASSOCIATION,New England Shorthand Reporter's Association
COLONIAL HOTEL,(?colonial Hotel?)
HOTEL COLOMBO,Colombo Hotel
NEW YORK SOCIETY OF THE ORDER OF THE FOUNDERS AND PATRIOTS OF AMERICA,New York Society Of The Order Of The Founders And Patriots Of America
OCEAN STEAMSHIP CO.,Ocean Steamship Co.
GUMPSES OF GREATER WACO,Gumpses Of Greater Waco
BALTIMORE AND OHIO RR,Baltimore And Ohio RR
TOYO KISEN KAISHA - HONG KONG MARU,Toyo Kisen Kaisha - Hong Kong  Maru
CAFE SACHS,Cafe Sachs
RED STAR LINE - ANTWERPEN -NY,Red Star Line - Antwerpen  - NY
NEW YORK AND PORTO RICO STEAMSHIP COMPANY,New York And Porto Rico Steamship Co.
STURTEVANT HOUSE,Sturtevant House
THE BOLTON,The Bolton
(WALDORF-ASTORIA),(waldorf-astoria)
MR.& MRS.A.B.DeFREGE,Mr.& Mrs.A.B.Defrege
LIBRARY ASSOCIATION OF THE UNITED KINGDOM,Library Association Of The United Kingdom
HOTEL SOMERSET,Hotel Somerset
THE ST NICHOLAS SOCIETY OF CITY OF NY,The St Nicholas Society Of City Of Ny
FRIENDS OF MR. CHARLES A. BRUNN,Friends Of Mr. Charles A. Brunn
MASONIC TEMPLE,Masonic Temple
BROOKLYN BICYCLE CLUB,Brooklyn Bicycle Club
DR. HARBAN,Dr. Harban
SAINT NICHOLAS SOCIETY OF CITY OF NEW YORK,Saint Nicholas Society
SCHULZ RESTAURANT AND SUMMER GARDEN,Schulz Restaurant And Summer Garden
MON. JULES C.ROUX,Mon. Jules C.Roux
UNION LEAGUE CLUB FRIENDS,Union League Club Friends
NATIONAL ASSOCIATION OFPIANO DEALERS OF AMERICA,National Association Ofpiano Dealers Of America
HARDWARE AND METAL TRADES,Hardware And Metal Trades
MARK HOPKINS INSTITUTE OF ART,Mark Hopkins Institute Of Art
MIDDLESEX CLUB,Middlesex Club
AMHERST ALUMNI,Amherst Alumni
REGIMENTS VON HORN,Regiments Von Horn
ALPHI PHI,Alphi Phi
THE HOLLAND SOCIETY,The Holland Society
FROHNER'S HOTEL IMPERIAL,Frohner's Hotel Imperial
ENCYCLOPEDIA BRITANNICA NINTH EDITION,Encyclopedia Britannica Ninth Edition
CONTINENTAL HOTEL,'continental Hotel
CONGRESS OF ENGINEERS OF MILAN,Congress Of Engineers Of Milan
P.H.,P.H.
BROOKLYN GERMANIA,Brooklyn Germania
MINISTER OF COMMERCE,Minister Of Commerce
NEW HAVEN YACHT CLUB,New Haven Yacht Club
OMAR KHAYYAM CLUB,Omar Khayyam Club
LAFAYETTE PLACE RESTURANT AND CAFE,Lafayette Place Restaurant & Cafe
MRS. HWEMANN OELRICHS,Mrs. Hwemann Oelrichs
IRVING CLUB,Irving Club
BROOKLYN BAPTIST SOCIAL UNION,Brooklyn Baptist Social Union
Paquebot France,'paquebot \france\'''''
Chez Tante Louise,Chez Tante Louise
Berkeley,Berkeley
Anthony's Pier 4,Anthony's Pier 4
Paradis Barcelona,Paradis Barcelona
New York Central System,New York Central
Tzu hai Pin Cantonese Restaurant,Tzu Hai Pin Cantonese Restaurant
CONFRERIE DE LA CHIANE DES ROTISSEURS,Confrerie De La Chiane Des Rotisseurs
HOTEL EUROPAISCHER HOF,Hotel Europaischer Hof
Cellar Restaurant,Cellar Restaurant
The Red Lion,The Red Lion
The Maryland Club,The Maryland Club
The Constellation Room,The Constellation Room
Sheraton Blackstone Chicago,Sheraton Blackstone Chicago
Kings Bay Yacht And Country Club,Kings Bay Yacht And Country Club
Gull Harbor Inn,Gull Harbor Inn
S.S. Hanseatic,S.S. Hanseatic
Coach N' Paddock,Coach N' Paddock
Vestal Steak House,Vestal Steak House
Harrison Inn,Harrison Inn
Dubrovnik Restaurant,Dubrovnik Restaurant
Hotel Fort Shelby   Java Room,Hotel Fort Shelby   Java Room
Restaurant Du Moulin De Mougins Roger Verge,Restaurant Du Moulin De Mougins Roger Verge
Souper Salads,Souper Salads
Vail Village Inn,Vail Village Inn
Antoine,Antoine
S.S. Hastings,S.S. Hastings
Ho GaststÃ¤tte,Ho Gaststã¤tte
Wakitatina,Wakitatina
Bundeshausrestaurant,Bundeshaus Restaurant
Dom Hotel KÃ¶lm,Dom Hotel Kã¶lm
Hotel Sheraton Astor; Belvedere Room,Hotel Sheraton Astor; Belvedere Room
Emanuel Lodge,Emanuel Lodge
The Sagamore,The Sagamore
'S.S. ''Normandie''''''','s.S. ''normandie'''''''
The Hotel Plaza,The Hotel Plaza
The Savoy Plaza,The Savoy Plaza
Flagship Florida,Flagship Florida
U.S.S. Minnesota,U.S.S. Minnesota
U. S. S. New York,U.S.S. New York
 South Ferry Hotel, South Ferry Hotel
Rector's,Rector's
Union Pacific Overland,Union Pacific Overland
Taverne Pousset,Taverne Pousset
Roma Restaurant,Roma Restaurant
Franklin Hall,Franklin Hall
Pontchartrain Hotel,Hotel Pontchartrain
Plaza,Plaza
Cortland,Cortland
Hotel Kernan,Hotel Kernan
Windsor Hotel,Hotel Windsor
Pabst 14th Street,Pabst 14th Street
 Troop F 19: Fort Huachuca, Troop F 19: Fort Huachuca
NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER (UNUSUAL),National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (unusual)
CROMWELL STEAMSHIP COMPANY,Cromwell Steamship Company
C XIII C,C Xiii C
(HARVARD UNIVERSITY),(harvard University)
ST.LOUIS CLUB,St. Louis Club
ROYAL HOTEL GIBRALTER,Royal Hotel Gibralter
DEWEY HOTEL,Dewey Hotel
DAVID LUNCH COUNTER,David Lunch Counter
THE ROCKAFELLOW,The Rockafellow
HOTELS SEILER,Hotels Seiler
THE COMMERCIAL CLUB,The Commercial Club
SONS OF THE REVOLUTION,Sons Of The Revolution
OCEANIC STEAMSHIP CO. - S.S.ZEALANDIA,Oceanic Steamship Co.
HOTELS DE ZERMATT,Hotels De Zermatt
POLAND SPRINGS HOUSE,Poland Spring Hotel
ULSTER CLUB,Ulster Club
GOVERNMENT HOUSE,Government House
COMPAGNIE GENERALE TRANSATLANTIQUE,Compagnie General Transatlantique
ANNUMNI ASSN OF THE NEW YORK HOMEOPATHIC MEDICAL COLLEGE,Annumni Assn Of The New York Homeopathic Medical College
MEMBERS OF BALTIMORE YACHT CLUB,Members Of Baltimore Yacht Club
ST. GEORGE'S SOCIETY OF NEW YORK,St. George's Society
ST. ANN'S CHURCH,St. Ann's Church
DREAMLAND RESTAURANT -METROPOLE  HOTEL,Dreamland Restaurant -metropole  Hotel
NEW YORK STATE HOTEL ASSOCIATION,New York State Hotel Association
GLEN FALLS CLUB,Glen Falls Club
MASSACHUSETTS PROHIBITION STATE COMMITTEE,Massachusetts Prohibition State Committee
U.S.M.A. (UNITED STATES MILITARY ACADEMY?),U.S.M.A. (united States Military Academy?)
NEW ORLEANS STOCK EXCHANGE,New Orleans Stock Exchange
INTERLAKE YACHTING ASSOCIATION,Interlake Yachting Association
MEXICAN-AMERICAN S.S. CO.,Mexican American Steamship Company
THE LAKEWOOD,The Lakewood
THE BUSINESS MEN'S LEAGUE OF ST. LOUIS,The Business Men's League Of Saint Louis
H.D. BRISTOL'S OYSTER & CHOP HOUSE,H.D. Bristol's Oyster & Chop House
NEW YORK CITY,New York City
ADOLPH WALDHEIM'S,Adolph Waldheim's
PROVIDENCE LINE,Providence Line
U.S.S.S.RALEIGH,U.S.S.S.Raleigh
DOWAGER QUEEN MARGHERITA OF ITALY,Dowager Queen Margherita Of Italy
HOTEL MEN'S MUTUAL BENEFIT ASSOCIATION,Hotel Men's Mutual Benefit Association
ASSOCIATION OF LIFE INSURANCE MEDICAL DIRECTORS,Association Of Life Insurance Medical Directors
HEALY'S OYSTER AND CHOP HOUSE,Healy's Oyster And Chop House
MR. LOUIS N. MEGARGEE,Mr. Louis N. Megargee
ANCIENT ACCEPTED SCOTTISH RITE OF FREEMASONRY,Ancient & Accepted Scottish Rite
BANCHETTISSIMO DEI GIORNALISTI,Banchettissimo Dei Giornalisti
CITY OF VILLE DE VILLENEUVE-SUR-LOT,City Of Ville De Villeneuve-sur-lot
MARQUETTE CLUB,Marquette Club
HOTEL WINDERMERE,Hotel Windermere
THE NEW YORK STATE BANKERS ASSOCIATION,The New York State Bankers Association
EPITAUX'S RESTAURANT,Epitaux's Restaurant
Pan American,Pan American
Mirabelle,Mirabelle
The Hawes Inn,The Hawes Inn
Kronenhalle,Kronenhalle
Hotel Okura,Hotel Okura
Hostaria dell'Orso,Hostaria Dell'orso
Hotel de Paris,Hotel De Paris
Ritz Carlton,Ritz Carlton
Oak Room,Oak Room
Grill Relais Plaza ,Grill Relais Plaza 
The Garden,The Garden
Hotel Kurhaus,Hotel Kurhaus
Cafe zur Frauenkirche ,Cafe Zur Frauenkirche 
Zu Gastin Grauhof,Zu Gastin Grauhof
Statler Hilton,Statler Hilton
Falcke Charlottenburger Pilsner-Stuben,Falcke Charlottenburger Pilsner-stuben
Denver and Rio Grande Western Railroad,Denver And Rio Grande Western Railroad
The San Diegan,The San Diegan
The San Francisco Cabinet National Union,The San Francisco Cabinet National Union
Hotel Gramercy Park,Gramercy Park Hotel
Culinary Institute Of America,Culinary Institute Of America
The Waldorf Astoria,The Waldorf Astoria
Maryland Inn,Maryland Inn
M/V Island Princess,M/v Island Princess
Rob Roy,Rob Roy
19th Hole,19th Hole
The Oxbow Inn   The Groggery,The Oxbow Inn   The Groggery
Phillips Crab House,Phillips Crab House
The Pierre,The Pierre
Hotel Biltmore,Hotel Biltmore
Henrici's,Henrici's
The Kingsville Inn,The Kingsville Inn
The Ambassador,The Ambassador
Coffee House,Coffee House
'Kaffee Restaurant Und BrÃ¤ustÃ¼bl \Tiefer Keller\''''','kaffee Restaurant Und Brã¤ustã¼bl \tiefer Keller\'''''
Brookbend Inn,Brookbend Inn
Blair House,Blair House
Scoma's,Scoma's
China Garden Restaurant,China Garden Restaurant
WÃ¤rdshuset StallmÃ¤staregÃ¥rden,Wã¤rdshuset Stallmã¤staregarden
Le Parlement D'hiver De La Commanderie De Bordeaux,Le Parlement D'hiver De La Commanderie De Bordeaux
Ski House   Badger Pass,Ski House   Badger Pass
El Charro,El Charro
Frontera Grill,Frontera Grill
Highlands Inn And Pacific's Edge Restaurant,Highlands Inn And Pacific's Edge Restaurant
Museum Restaurant And Bar,Museum Restaurant And Bar
Dal Pescatore,Dal Pescatore
The Winery,The Winery
The Crab Tree,The Crab Tree
Suburban Cocktail Lounge,Suburban Cocktail Lounge
The Kansas Cityan Chicagoan,The Kansas Cityan Chicagoan
The Edgewater Restaurant,The Edgewater Restaurant
The Chicago Line,The Chicago Line
La Petite Suisse,La Petite Suisse
'S.S. ''Bremen''''''','s.S. ''bremen'''''''
Royal Hawaiian Hotel,Royal Hawaiian Hotel
Lido,Lido
Guilford Lakes Clubhouse,Guilford Lakes Clubhouse
Hotel Lafayette/Hotel Brevoort,Hotel Lafayette/hotel Brevoort
Teco Inn,Teco Inn
69th Infantry Armory,69th Infantry Armory
Hotel Columbia and Cottages,Hotel Columbia And Cottages
Strand Roof,Strand Roof
New York Hospital,New York Hospital
[Restaurant name and/or location not given] ,Restaurant Name And/or Location Not Given
Hotel St. Andrew,Hotel St. Andrew
Old Faithful Inn,Old Faithful Inn
Tokio Restaurant,Tokio Restaurant
Hunts Point Palace,Hunts Point Palace
E. Ettinger CafÃ© and Restaurant,E. Ettinger Cafã© And Restaurant
Merchants Club,Merchants' Club
Hotel Kaaterskill,Hotel Kaaterskill
Chamber of Commerce,Chamber Of Commerce
PACIFIC MAIL STEAMSHIP COMPANY,Pacific Mail Steamship Co.
RED STAR LINE,Red Star Line
CHICAGO BAR ASSOCIATION,Chicago Bar Association
HOTEL ST. ANDREW,Hotel St. Andrew
COTTON BELT RAILROAD ROUTE,Cotton Belt Railroad Route
MANGLER'S,Mangler's
D&H DINING CAR SERVICE,D&h Dining Car Service
TULANE HOTEL,Tulane Hotel
RED STAR LINE - ANTWERPEN  NY,Red Star Line - Antwerpen  - NY
STATLER'S HOTEL,Statler's Hotel
CHRYSANTHEMUM CLUB OF THE U.S. FLAGSHIP TEXAS,Chrysanthemum Club
THE PORTLAND,The Portland
Diner Restaurant,Diner Restaurant
THE WENTWORTH,The Wentworth
SPORTSMANS GRILL,Sportsmans Club
WAUMBEK,Waumbek
AMERICAN BANKERS' ASSOCIATION,American Bankers Association
THE WINDSOR,The Windsor
AMSTEL-HOTEL,Amstel-hotel
THE BANKERS CLUB OF CHICAGO,The Bankers Club Of Chicago
MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES COMMANDERY OF THE STATE OF MAINE,Military Order Of The Loyal Legion Of The United States Commandery Of The State Of Minnesota
ROYAL LITERARY FUND,Royal Literary Fund
ALBANY ZOUAVE CADETS - OLD GUARD,Albany Zouave Cadets
FABYAN HOUSE,Fabyan House
MISSOURI SOCIETY,Missouri Society
THE MODERN DINING ROOM,The Modern Dining Room
INDIANA STATE SOLDIERS' HOME,Indiana State Soldiers' Home
BOOST CLUB,Boost Club
(HARVARD?),(harvard?)
COLBY ACADEMY,Colby Academy
FRIENDS OF MR. D. ALLEN,Friends Of Mr. D. Allen
ANCIENT & ACCEPTED SCOTTISH RITE,Ancient & Accepted Scottish Rite
GEORGE THOMSON WILSON,George Thomson Wilson
RESTAURANT BUEROSE,Restaurant Buerose
(GERMAN FEDERAL GUNNERS?) DEUTSCHES BUNDESSCHIESSEN,(german Federal Gunners?) Deutsches Bundesschiessen
MEDICAL SOCIETY OF THE STATE OF NEW YORK,Medical Society Of The State Of New York
CHILD'S LUNCH ROOMS,Child's Lunch Rooms
GOVERNORS OF THE QUEEN CITY CLUB,Governors Of The Queen City Club
FIRST COMPANY-7NTH REGIMENT,First Company-7nth Regiment
NATIONAL ARTS CLUB,National Arts Club
NEW ENGLAND CLAM BAKE AND RESTAURAN,New England Clam Bake And Restauran
MERCHANTS OF THE TWENTIETH PRECINCT,Merchants Of The Twentieth Precinct
MERCHANT TAILOR'S NATIONAL PROTECTIVE ASSOCIATION OF AMERICA,Merchant Tailor's National Protective Association Of America
VETERAN CORPS FIRST REGIMENT INFANTRY N.G.P.,Veteran Corps First Regiment Infantry N.G.P.
LOS REPRESEMTAMTES DOPLOMATICOS DE LAS REPUBLICAS DE CENTRO AMERICA,Los Represemtamtes Doplomaticos De Las Republicas De Centro America
ALBANY MEMBERS OF THE NEW YORK STATE STENOGRAPHERS'ASSOCIATION,Albany Members Of The New York State Stenographers'association
Jonathans',Jonathans'
Club 31,Club 31
Gambrinus,Gambrinus
el Morocco,El Morocco
Hotel Antigua,Hotel Antigua
Wienercafe Restaurant,Wienercafe Restaurant
Drug Store,Drug Store
Sitar,Sitar
Le Duc,Le Duc
Applebys,Applebee's
Humplmayr Grill,Humplmayr Grill
Musicians Mutual Protective Union of San Francisco,Musicians Mutual Protective Union Of San Francisco
'Crusader,'crusader
Ss Rotterdam,Ss Rotterdam
China Airlines,China Airlines
Galeries Lafayette Restaurant,Galeries Lafayette Restaurant
Bay Head Yacht Club,Bay Head Yacht Club
Wichita Club,Wichita Club
Brook Hollow Golf Club,Brook Hollow Golf Club
Safari Hotel,Safari Hotel
Hilton Hawaiian Village,Hilton Hawaiian Village
Dale's,Dale's
S.S. Santa Paula,S.S. Santa Paula
Rattazzi,Rattazzi
The Maine Maid,The Maine Maid
Conti's,Conti's
Caliente Cab Co.,Caliente Cab Co.
American Restaurant,American Restaurant
The Granary,The Granary
Kuenning's Midtown Restaurant,Kuenning's Midtown Restaurant
The Hearthstone,The Hearthstone
Oakland Chamber Of Commerce,Oakland Chamber Of Commerce
Penn Hotel,Penn Hotel
Ristorante Centrale,Restaurant Haussner
Meat 'N Taters,Meat 'n Taters
Crystal Ball Room,Crystal Ball Room
Ice Terrace,Ice Terrace
Rotary Club De Buenos Aires,Rotary Club De Buenos Aires
Hotel Mark Hopkins,Hotel Mark Hopkins
Pomeroy's,Pomeroy's
'R.M.S. ''Parthia''''''','r.M.S. ''parthia'''''''
The Benjamin Franklin,The Benjamin Franklin
[Soo Line Railroad Company],[soo Line Railroad Company]
Fort Montagu Beach Hotel,Fort Montagu Beach Hotel
The Jefferson,The Jefferson
The Commodore,The Commodore
The Hotel Sir Walter,The Hotel Sir Walter
Shanghai Food Shop Incorporated,Shanghai Food Shop Incorporated
TrÃ¤dgÃ¥rdsfÃ¶reningens,Trã¤dgã¥rdsfã¶reningens
The National Arts Club,The National Arts Club
Quill Club,Quill Club
Hotel Agua Caliente,Hotel Agua Caliente
Casino,Casino
Hotel Somerset,Hotel Somerset
Thayer's Hotel,Thayer's Hotel
Guffanti's Table d'HÃ´te ,Guffanti's Table D'hã´te
Hotel Deming,Hotel Deming
Hotel Westminster,Hotel Westminster
Astor House,Astor House
Marie Antoinette Hotel,Hotel Marie Antoinette
New Willard,New Willard
COLBY ALUMNI ASSOCIATION OF NEW YORK,Colby Alumni Association Of New York
DEL CORONADAO HOTEL,Del Coronado Hotel
MILLS HOTEL RESTAURANT,Mills Hotel Restaurant
SHANLEY BROS. OYSTER HOUSES & GRILL ROOM,Shanley Bros. Oyster Houses & Grill Room
U.S.M.S,U.S.M.S
U.S.M.S. ST. LOUIS,'u.S.M.S. St. Louis
ELECTRIC TOWER RESTAURANT,Electric Tower Restaurant
ASCHINGER'S BIER-QUELLE,Aschinger's Bier-quelle
NIPPON YUSEN KAISHA -S.S.NASUGA,Nippon Yusen Kaisha
OCEANIC STEAMSHIP CO.- SIERRA,Oceanic Steamship Co.
ROGERS' CHOP HOUSE AND RESTAURANT,Rogers' Chop House And Restaurant
BOSTON OYSTER HOUSE,Boston Oyster House
COMMERCIAL CLUB OF CHICAGO,Commercial Club
(PHI DELTA PHI FRATERNITY),(phi Delta Phi Fraternity)
THE IDEALA CLUB,The Ideala Club
NORTHERN PACIFIC RAILWAY,Northern Pacific Railway
PACIFIC MAIL STEAMSHP COMPANY,Pacific Mail Steamship Co.
UNION CLUB,(union Club)
A.W. DENNETT,A.W. Dennett
CHAPTER OF (PENNSYLVANIA?) EPSILON,Chapter Of (pennsylvania?) Epsilon
ROYAL POINCIANA,Royal Poinciana
BOSTON BOOT AND SHOE CLUB,Boston Boot And Shoe Club
DEPARTMENT OF CITY CONTROLLER,Department Of City Controller
THE WORTHY,The Worthy
CADET QUARTETTE U.S.ARMY,Cadet Quartette U.S.Army
BRIGGS HOUSE,Briggs House
BELVEDERE HOUSE;,Belvedere House;
THE CANTON SOCIETY OF NEW YORK,The Canton Society Of New York
TERMINAL STATION LUNCH ROOM,Terminal Station Lunch Room
(CLEVELAND BAR?),(cleveland Bar?)
HOTEL PAISER HOP,Hotel Paiser Hop
RHODE ISLAND SOCIETY OF THE SONS OF THE AMERICAN REVOLUTIO,Rhode Island Society Of The Sons Of The American Revolutio
LAUREL HOUSE,Laurel House
EMPIRE STATE SOCIETY SONS OF THE AMERICAN REVOLUTION,Empire State Society Of Sons Of The American Revolution
HOTEL NICOLLET CAFE',Hotel Nicollet Cafe'
WILEY & HASKELL,Wiley & Haskell
NORFOLK AND WASHINGTON SS. CO.,Norfolk And Washington Ss. Co.
KNICKERBOCKER HOTEL RESTAURANT,Knickerbocker Hotel Restaurant
DR. HEBER JONES' FRIENDS,Dr. Heber Jones' Friends
THE THIRTEEN CLUB,The Thirteen Club
CLASS OF '88,Class Of '88
NATIONAL BD  OF TRADE,National Bd  Of Trade
PRINCETON CLUB OF NEW YORK,Princeton Club Of New York
FRIENDS OF WILLIAM M. BUNN,Friends Of William M. Bunn
AMERICAN PAPER MANUFACTURERS' ASSOCIATION,American Paper Manufacturers' Association
C0MMERCIAL CLUB OF CINCINNATI,Commercial Club
NEW YORK SOUTHEN SOCIETY,New York Southen Society
D.A.R.- MOHAWK CHAPTER,D.A.R.- Mohawk Chapter
UNIVERSITY OF THE CITY OF NEW YORK,University Of The City Of New York
PSI UPSILON OF PHILADELPHIA,Psi Upsilon Of Philadelphia
NEW YORK LUMBER TRADE ASSOCIATION,New York Lumber Trade Association
Swissair,Swissair
The Traveller's Club,The Traveller's Club
Hotel Drei Konige am Rhein,Hotel Drei Konige Am Rhein
Restaurant La Gousse D'Ail,Restaurant La Gousse D'ail
I Tre Merli Bistro,I Tre Merli Bistro
India House,India House
Stammhaus,Stammhaus
Hotel Erbprinz,Hotel Erbprinz
ChinChin,Chinchin
Rotisserie de la Table du Roy (Le chef Georges),Rotisserie De La Table Du Roy (le Chef Georges)
Hotel Restaurant Schutzer Hof,Hotel Restaurant Schutzer Hof
Hampshire House,Hampshire House
The Moghul Room,The Moghul Room
The Bowman Room Of The Biltmore,The Bowman Room Of The Biltmore
Chillingsworth,Chillingsworth
The Connecticut Room Hartford Plaza Building,The Connecticut Room Hartford Plaza Building
Horn & Hardart,Horn & Hardart
Sheraton Plaza Hotel,Sheraton Palace Hotel
Americana Hotel,American Hotel
Marriott Motor Hotel,Marriott Motor Hotel
Trader Vic's,Trader Vic's
Mamma Leone's Ristortante,Mamma Leone's Ristortante
American Festival CafÃ©,American Festival Cafã©
Shezan,Shezan
Wednesday's,Wednesday's
Werkgasthaus HÃ¼ttenwerk Rheinhausen,Werkgasthaus Hã¼ttenwerk Rheinhausen
Cast StÃ¤tte Leopold,Cast Stã¤tte Leopold
Chinesisches Restaurant,Chinesisches Restaurant
Mayflower Restaurant,Mayflower Restaurant
The Burger Boys Of Brooklyn,The Burger Boys Of Brooklyn
The Composer,The Composer
Bangkok Cuisine,Bangkok Cuisine
United Airlines,United Air Lines
Papadakis Taverna,Papadakis Taverna
Grand Motor Hotel,Grand Motor Hotel
Ocean Restaurant,Ocean Restaurant
Keaton's,Keaton's
Imperator Concorde,Imperator Concorde
Bill's Seafood Ship CafÃ©,Bill's Seafood Ship Cafã©
The Maxwell House,The Maxwell House
La Posada,La Posada
Luccioni's,Luccioni's
Rosoff's,Rosoff's
Garden Room,Garden Room
Green Briar,Green Briar
Chocorua Inn,Chocorua Inn
Hotel Du Pont,Hotel Dupont
Nick Bates' Merry Go Round Bar,Nick Bates' Merry Go Round Bar
Hotel New Weston,Hotel New Weston
Kurhotel Petersberg,Kurhotel Petersberg
Green's,Green's
Empire State Observatory,Empire State Observatory
All Souls Men's Club,All Souls Men's Club
The Receiving Ship at New York,The Receiving Ship At New York
Riverside Dining Room,Riverside Dining Room
Commercial Club,Commercial Club
Hotel Sherman,Hotel Sherman
Garret Restaurant,Garret Restaurant
Richmond Restaurant,Richmond Restaurant
Seelbach Hotel,Seelbach Hotel
Grand Hotel Hungaria,Grand Hotel Hungaria
Crawford's,Crawford House
Gerdner & Smith,Gardner & Smith
RECTOR'S,Rector's
LEGATION DES ETAT-UNIS D'AMERIQUE,Legation Des Etat-unis D'amerique
HOTEL DU MUSEE,Hotel Du Musee
COOK'S NILE SERVICE,Cook's Nile Service
ARMSTRONG AND CO.,Armstrong And Co.
STANTON HOUSE,Stanton House
NORTH CAROLINA SOCIETY OF NEW YORK,North Carolina Society Of New York
HOTEL COLORADO,Colorado Hotel
TERRACE GARDEN RESTAURANT,Terrace Garden Restaurant
DE L'ANGE HOTEL,De L'ange Hotel
NIPPON YUSEN KAISHA - S.S.ROSETTA MAM,Nippon Yusen Kaisha
OCEANIC STEAMSHIP CO. - SONOMA,Oceanic Steamship Co.
NY CITY HOTEL ASSOCIATION,Ny City Hotel Association
HOTEL ALGAZAR,Alcazar Hotel
MILITARY COMPANY OF ALBANY,Military Company Of Albany
IDAN-HA HOTEL,Idan-ha Hotel
HARVARD COLLEGE,Harvard College
Unknown,Unknown
DEPARTMENT OF NEW YORK GRAND ARMY REPUBLIC,Department Of New York Grand Army Republic
CITIZENS OF CHICAGO,Citizens Of Chicago
HERVORRAGENDSTEN NEW YORKER VEREINE,Hervorragendsten New Yorker Vereine
PENNYSLVANIA RAILROAD COMPANY,Pennsylvania Railroad
ALLEGHENY COUNTY BAR ASSOCIATION,Allegheny County Bar Association
NEW ENGLAND SCIETY IN THE CITY OF NEW YORK,New England Sciety In The City Of New York
FLATIRON RESTAURANT & CAFE,Flat Iron Restaurant
HARLEM DEMOCRATIC CLUB,Harlem Democratic Club
ST. GEORGE'S SOCIETY OF THE CITY OF NEW YORK,St. George's Society
MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES.  COMMANDERY OF THE STATE OF MINNESOTA,Military Order Of The Loyal Legion Of The United States Commandery Of The State Of Minnesota
WILLARDS HOTEL,Willard's Hotel
FRIENDLY SONS OF ST. PATRICK OF CINCINNATI,Friendly Sons Of St Patrick
ASSOCIATION OF AVERAGE ADJUSTERS,Association Of Average Adjusters
GEISER GRAND,Geiser Grand
FLORIDA ENCAMPMENT NO. 1,Florida Encampment No. 1
STATIONERS' BOARD OF TRADE,Stationers' Board Of Trade
THE NATIONAL FEDERATION OF AMERICA,The National Federation Of America
BELLECLAIRE CLUB,Belleclaire Club
GRAND HOTEL DE LONDRES,Grand Hotel De Londres
CHANCELLOR WALWORTH LODGE NO.271 AND A.M.,Chancellor Walworth Lodge No. 271 F.&a.M.
SOCIETY OF SONS OF THE REVOLUTION IN THE STATE OF MISSOURI,Society Of Sons Of The Revolution In The State Of Missouri
NAETHING BROS.,Naething Bros.
(SPIDESEDDEL ?),(spideseddel ?)
COMMERCIAL CLUB,Commercial Club
NEW YORK TEAM OWNERS' ASSOCIATION,New York Team Owners' Association
Restaurant & Bierstube zum Stadtheller,Restaurant & Bierstube Zum Stadtheller
Chipen,Chipen
Benrather Hof,Benrather Hof
Oustau de Baumaniere,Oustau De Baumaniere
Victorian,Victorian
Le Relais Napoleon,Le Relais Napoleon
FREDERIC BACOU,Frederic Bacou
Seehotel Uberfahrt,Seehotel Uberfahrt
Union Pacific Railroad,Union Pacific Railroad
'M.S. \Sagafjord\''''','m.S. \sagafjord\'''''
Brentwood Inn,Brentwood Inn
'Lunch [Sponsored By] Maxwell's Plum [At] 64th Street And First Ave.,'lunch [sponsored By] Maxwell's Plum [at] 64th Street And First Ave.
Host International,Host International
Cloud Club,Cloud Club
Eagle Restaurant,Eagle Restaurant
Vorst's Century Sea Grill,Vorst's Century Sea Grill
Anglo German Club Hamburg,Anglo German Club Hamburg
Castle Restaurant,Castle Restaurant
The Tavern On The Green,Tavern On The Green
The House Of Whitbread,The House Of Whitbread
The Grand Ticino,The Grand Ticino
Le Chateau Richelieu,Le Chateau Richelieu
